"announced","budget","coinvestigators","contest","descriptors","duration","panel","start"
"2013-09-16","146250","2","PRELUDIUM","ST5_4|ST5_21|ST5_12","36","ST5","2014-08-25"
"2013-03-15","462650","9","SONATA","ST5_1|ST2_8|ST5_2","30","ST5","2014-02-18"
"2013-09-16","150000","2","PRELUDIUM","HS6_1|NZ4_10","36","HS6","2014-07-30"
"2013-03-15","470500","5","SONATA","ST5_1|ST5_4|ST5_8","36","ST5","2014-02-18"
"2013-03-15","545500","4","SONATA","ST5_2","36","ST5","2014-02-18"
"2013-03-15","394000","4","SONATA","ST5_1|ST5_6|ST4_9","36","ST5","2014-03-18"
"2013-03-15","462940","5","SONATA","ST5_3|ST5_16","36","ST5","2014-03-18"
"2014-03-17","97972","2","PRELUDIUM","HS3_3|HS3_2|HS5_1","24","HS3","2015-03-02"
"2013-03-15","308000","4","SONATA","ST5_6|ST5_8|ST5_19","36","ST5","2014-03-13"
"2014-03-17","99940","2","PRELUDIUM","HS6_1|NZ4_7|HS1_6","24","HS6","2015-02-04"
"2013-03-15","362550","2","SONATA","ST5_23|ST4_5|ST5_7","36","ST5","2014-02-13"
"2013-03-15","334540","3","SONATA","ST5_16","36","ST5","2014-02-18"
"2013-03-15","393900","2","SONATA","ST6_11|ST6_7","36","ST6","2014-03-24"
"2013-03-15","182000","1","SONATA","ST6_5","24","ST6","2014-02-18"
"2014-09-15","65160","2","PRELUDIUM","HS2_12|HS2_14","18","HS2","2015-07-07"
"2013-03-15","498770","6","SONATA","ST6_6|ST6_10","36","ST6","2014-04-01"
"2014-03-17","81900","2","PRELUDIUM","ST1_11","32","ST1","2015-02-05"
"2013-03-15","270080","3","SONATA","ST6_5|ST6_4","24","ST6","2014-02-20"
"2013-09-16","73364","3","PRELUDIUM","HS2_5|HS2_6","20","HS2","2014-08-27"
"2013-03-15","234470","3","SONATA","ST6_4|ST6_1|ST6_6","36","ST6","2014-02-18"
"2013-09-16","125000","2","PRELUDIUM","HS3_8","30","HS3","2014-07-01"
"2013-03-15","334124","3","SONATA","ST6_7","32","ST6","2014-02-18"
"2013-03-15","481480","4","SONATA","ST7_5","36","ST7","2014-04-01"
"2014-03-17","92183","3","PRELUDIUM","HS6_1","24","HS6","2015-03-24"
"2013-03-15","366350","6","SONATA","ST1_17|ST7_1|ST7_4","36","ST7","2014-02-14"
"2014-09-15","100000","2","PRELUDIUM","ST5_6|ST5_8|ST5_14","24","ST5","2015-08-03"
"2013-03-15","442320","4","SONATA","ST7_6|ST7_5","36","ST7","2014-03-20"
"2014-03-17","92920","3","PRELUDIUM","HS4_3|HS4_12","26","HS4","2015-02-18"
"2013-03-15","499000","5","SONATA","ST7_5","36","ST7","2014-03-18"
"2013-03-15","384800","10","SONATA","ST8_1|ST4_11|ST4_14","36","ST8","2014-06-02"
"2013-03-15","494679","5","SONATA","ST8_8","36","ST8","2014-04-22"
"2014-09-15","84100","2","PRELUDIUM","HS3_5|HS3_9|HS3_2","24","HS3","2015-09-03"
"2013-03-15","444960","6","SONATA","ST8_8","36","ST8","2014-03-17"
"2015-03-16","62844","2","PRELUDIUM","HS6_13|HS6_7","24","HS6","2016-02-17"
"2013-03-15","291000","6","SONATA","ST8_8|ST5_8|ST5_19","36","ST8","2014-02-10"
"2013-03-15","348000","6","SONATA","ST8_8","36","ST8","2014-02-10"
"2013-03-15","483000","4","SONATA","ST8_8","36","ST8","2014-03-07"
"2014-03-17","94540","2","PRELUDIUM","HS3_2|HS3_1|HS3_7","36","HS3","2015-01-26"
"2013-03-15","363200","4","SONATA","ST8_1","36","ST8","2014-04-01"
"2015-03-16","99000","2","PRELUDIUM","ST5_23|ST4_3|ST4_1","24","ST5","2016-03-03"
"2013-03-15","329500","9","SONATA","ST8_8|ST5_5","36","ST8","2014-04-01"
"2013-03-15","497760","8","SONATA","ST7_11|ST5_1|ST8_11","36","ST8","2014-02-13"
"2014-03-17","95388","3","PRELUDIUM","HS3_8","24","HS3","2015-01-29"
"2013-03-15","345950","4","SONATA","ST5_1|ST8_8","24","ST8","2014-03-13"
"2014-03-17","145419","2","PRELUDIUM","HS2_6","36","HS2","2015-01-29"
"2013-03-15","485444","8","SONATA","ST8_4|ST5_4|ST5_3","36","ST8","2014-03-13"
"2013-03-15","562740","5","SONATA","ST9_15|ST9_9","36","ST9","2014-05-05"
"2013-09-16","149590","2","PRELUDIUM","ST9_4","36","ST9","2014-10-16"
"2013-06-14","332020","9","HARMONIA","HS1_10|HS3_5|HS1_13","36","HS1","2014-05-15"
"2013-06-14","283651","5","HARMONIA","HS2_7|HS2_6|HS6_4","27","HS2","2014-05-05"
"2013-09-16","149540","2","PRELUDIUM","ST5_23|ST4_3|ST5_22","36","ST5","2014-08-25"
"2013-06-14","417480","8","HARMONIA","HS2_5|HS2_6","36","HS2","2014-06-04"
"2013-09-16","91840","2","PRELUDIUM","HS5_1","24","HS5","2014-10-01"
"2013-06-14","90607","4","HARMONIA","HS3_2|HS3_11","36","HS3","2014-05-15"
"2015-03-16","96600","3","PRELUDIUM","ST7_5|ST3_5|ST5_4","24","ST7","2016-02-15"
"2013-06-14","599300","11","HARMONIA","HS3_8|NZ8_11|NZ9_13","36","HS3","2014-05-05"
"2015-03-16","99994","2","PRELUDIUM","ST5_19|ST4_3|ST5_18","24","ST5","2016-03-14"
"2013-06-14","232560","5","HARMONIA","HS3_8","24","HS3","2014-05-15"
"2013-09-16","148880","3","PRELUDIUM","HS3_8|HS3_12|ST10_12","36","HS3","2014-08-12"
"2013-06-14","764208","13","HARMONIA","HS3_3|HS3_5","36","HS3","2014-05-05"
"2013-06-14","528500","9","HARMONIA","HS4_1|HS4_4|HS4_5","30","HS4","2014-05-15"
"2013-06-14","226991","4","HARMONIA","HS4_7","30","HS4","2014-06-09"
"2014-03-17","143650","2","PRELUDIUM","ST7_2|ST7_5","36","ST7","2015-03-04"
"2013-06-14","674400","15","HARMONIA","HS6_6","36","HS6","2014-05-29"
